"STATISTIÈNA REGIJA";"TIP LASTNIŠTVA";"VRSTA STAVBE";"LETO";"Število prebivalcev"
"SLOVENIJA";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";1989341
"SLOVENIJA";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";1995511
"SLOVENIJA";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";1992810
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";1934078
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";1943750
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";1938339
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";1215615
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";1245076
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";1246729
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";135944
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";117167
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";114426
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";582519
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";581507
"SLOVENIJA";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";577184
"SLOVENIJA";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";55263
"SLOVENIJA";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";51761
"SLOVENIJA";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";54471
"SLOVENIJA";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";1656525
"SLOVENIJA";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";1706170
"SLOVENIJA";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";1691687
"SLOVENIJA";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";1616021
"SLOVENIJA";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";1668754
"SLOVENIJA";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";1652572
"SLOVENIJA";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";1132910
"SLOVENIJA";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";1171239
"SLOVENIJA";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";1170071
"SLOVENIJA";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";100299
"SLOVENIJA";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";96213
"SLOVENIJA";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";92673
"SLOVENIJA";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";382812
"SLOVENIJA";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";401302
"SLOVENIJA";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";389828
"SLOVENIJA";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";40504
"SLOVENIJA";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";37416
"SLOVENIJA";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";39115
"SLOVENIJA";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2011";148432
"SLOVENIJA";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2015";135201
"SLOVENIJA";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2018";128155
"SLOVENIJA";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";139958
"SLOVENIJA";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";126658
"SLOVENIJA";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";119804
"SLOVENIJA";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";16100
"SLOVENIJA";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";15066
"SLOVENIJA";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";14204
"SLOVENIJA";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";4266
"SLOVENIJA";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";3812
"SLOVENIJA";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";3363
"SLOVENIJA";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";119592
"SLOVENIJA";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";107780
"SLOVENIJA";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";102237
"SLOVENIJA";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";8474
"SLOVENIJA";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";8543
"SLOVENIJA";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";8351
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2011";184384
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2015";154140
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2018";172968
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2011";178099
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2015";148338
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2018";165963
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";66605
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";58771
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";62454
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";31379
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";17142
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";18390
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";80115
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";72425
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";85119
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";6285
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";5802
"SLOVENIJA";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";7005
"Pomurska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";117153
"Pomurska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";114346
"Pomurska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";112188
"Pomurska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";107629
"Pomurska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";105873
"Pomurska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";104074
"Pomurska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";90993
"Pomurska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";90319
"Pomurska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";89061
"Pomurska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";4232
"Pomurska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";3641
"Pomurska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";3437
"Pomurska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";12404
"Pomurska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";11913
"Pomurska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";11576
"Pomurska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";9524
"Pomurska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";8473
"Pomurska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";8114
"Pomurska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";105001
"Pomurska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";103890
"Pomurska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";101556
"Pomurska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";96428
"Pomurska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";96287
"Pomurska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";94322
"Pomurska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";85721
"Pomurska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";85734
