"LETO";"STANOVANJSKE RAZMERE";"STANOVANJSKO RAZMERJE GOSPODINJSTVA";Stanovanjske razmere
"2010";"Slabo stanje stanovanja";"SKUPAJ";33
"2010";"Slabo stanje stanovanja";"Lastniki";33
"2010";"Slabo stanje stanovanja";"Najemniki";42
"2010";"Slabo stanje stanovanja";"Uporabniki";31
"2010";"Ni primernega ogrevanja";"SKUPAJ";6
"2010";"Ni primernega ogrevanja";"Lastniki";5
"2010";"Ni primernega ogrevanja";"Najemniki";14
"2010";"Ni primernega ogrevanja";"Uporabniki";5
"2010";"Pretemno stanovanje";"SKUPAJ";11
"2010";"Pretemno stanovanje";"Lastniki";10
"2010";"Pretemno stanovanje";"Najemniki";19
"2010";"Pretemno stanovanje";"Uporabniki";12
"2010";"Težave s hrupom";"SKUPAJ";18
"2010";"Težave s hrupom";"Lastniki";18
"2010";"Težave s hrupom";"Najemniki";26
"2010";"Težave s hrupom";"Uporabniki";13
"2010";"Onesnaženost okolja";"SKUPAJ";19
"2010";"Onesnaženost okolja";"Lastniki";20
"2010";"Onesnaženost okolja";"Najemniki";22
"2010";"Onesnaženost okolja";"Uporabniki";15
"2010";"Prisotnost kriminala";"SKUPAJ";10
"2010";"Prisotnost kriminala";"Lastniki";10
"2010";"Prisotnost kriminala";"Najemniki";12
"2010";"Prisotnost kriminala";"Uporabniki";8
"2011";"Slabo stanje stanovanja";"SKUPAJ";35
"2011";"Slabo stanje stanovanja";"Lastniki";34
"2011";"Slabo stanje stanovanja";"Najemniki";42
"2011";"Slabo stanje stanovanja";"Uporabniki";34
"2011";"Ni primernega ogrevanja";"SKUPAJ";6
"2011";"Ni primernega ogrevanja";"Lastniki";6
"2011";"Ni primernega ogrevanja";"Najemniki";13
"2011";"Ni primernega ogrevanja";"Uporabniki";6
"2011";"Pretemno stanovanje";"SKUPAJ";13
"2011";"Pretemno stanovanje";"Lastniki";11
"2011";"Pretemno stanovanje";"Najemniki";24
"2011";"Pretemno stanovanje";"Uporabniki";15
"2011";"Težave s hrupom";"SKUPAJ";18
"2011";"Težave s hrupom";"Lastniki";19
"2011";"Težave s hrupom";"Najemniki";23
"2011";"Težave s hrupom";"Uporabniki";14
"2011";"Onesnaženost okolja";"SKUPAJ";20
"2011";"Onesnaženost okolja";"Lastniki";21
"2011";"Onesnaženost okolja";"Najemniki";20
"2011";"Onesnaženost okolja";"Uporabniki";15
"2011";"Prisotnost kriminala";"SKUPAJ";9
"2011";"Prisotnost kriminala";"Lastniki";9
"2011";"Prisotnost kriminala";"Najemniki";11
"2011";"Prisotnost kriminala";"Uporabniki";7
"2012";"Slabo stanje stanovanja";"SKUPAJ";32
"2012";"Slabo stanje stanovanja";"Lastniki";30
"2012";"Slabo stanje stanovanja";"Najemniki";43
"2012";"Slabo stanje stanovanja";"Uporabniki";33
"2012";"Ni primernega ogrevanja";"SKUPAJ";7
"2012";"Ni primernega ogrevanja";"Lastniki";6
"2012";"Ni primernega ogrevanja";"Najemniki";18
"2012";"Ni primernega ogrevanja";"Uporabniki";9
"2012";"Pretemno stanovanje";"SKUPAJ";9
"2012";"Pretemno stanovanje";"Lastniki";9
"2012";"Pretemno stanovanje";"Najemniki";15
"2012";"Pretemno stanovanje";"Uporabniki";9
"2012";"Težave s hrupom";"SKUPAJ";14
"2012";"Težave s hrupom";"Lastniki";15
"2012";"Težave s hrupom";"Najemniki";17
"2012";"Težave s hrupom";"Uporabniki";11
"2012";"Onesnaženost okolja";"SKUPAJ";17
"2012";"Onesnaženost okolja";"Lastniki";17
"2012";"Onesnaženost okolja";"Najemniki";17
"2012";"Onesnaženost okolja";"Uporabniki";14
"2012";"Prisotnost kriminala";"SKUPAJ";8
"2012";"Prisotnost kriminala";"Lastniki";8
"2012";"Prisotnost kriminala";"Najemniki";11
"2012";"Prisotnost kriminala";"Uporabniki";7
"2013";"Slabo stanje stanovanja";"SKUPAJ";28
"2013";"Slabo stanje stanovanja";"Lastniki";26
"2013";"Slabo stanje stanovanja";"Najemniki";36
"2013";"Slabo stanje stanovanja";"Uporabniki";29
"2013";"Ni primernega ogrevanja";"SKUPAJ";6
"2013";"Ni primernega ogrevanja";"Lastniki";5
"2013";"Ni primernega ogrevanja";"Najemniki";12
"2013";"Ni primernega ogrevanja";"Uporabniki";8
"2013";"Pretemno stanovanje";"SKUPAJ";7
"2013";"Pretemno stanovanje";"Lastniki";6
"2013";"Pretemno stanovanje";"Najemniki";9
"2013";"Pretemno stanovanje";"Uporabniki";9
"2013";"Težave s hrupom";"SKUPAJ";13
"2013";"Težave s hrupom";"Lastniki";13
"2013";"Težave s hrupom";"Najemniki";17
"2013";"Težave s hrupom";"Uporabniki";11
"2013";"Onesnaženost okolja";"SKUPAJ";16
"2013";"Onesnaženost okolja";"Lastniki";16
"2013";"Onesnaženost okolja";"Najemniki";14
"2013";"Onesnaženost okolja";"Uporabniki";13
"2013";"Prisotnost kriminala";"SKUPAJ";9
"2013";"Prisotnost kriminala";"Lastniki";9
"2013";"Prisotnost kriminala";"Najemniki";9
"2013";"Prisotnost kriminala";"Uporabniki";7
"2014";"Slabo stanje stanovanja";"SKUPAJ";30
"2014";"Slabo stanje stanovanja";"Lastniki";29
"2014";"Slabo stanje stanovanja";"Najemniki";36
"2014";"Slabo stanje stanovanja";"Uporabniki";30
"2014";"Ni primernega ogrevanja";"SKUPAJ";7
"2014";"Ni primernega ogrevanja";"Lastniki";6
"2014";"Ni primernega ogrevanja";"Najemniki";16
"2014";"Ni primernega ogrevanja";"Uporabniki";7
"2014";"Pretemno stanovanje";"SKUPAJ";6
"2014";"Pretemno stanovanje";"Lastniki";5
"2014";"Pretemno stanovanje";"Najemniki";10
"2014";"Pretemno stanovanje";"Uporabniki";6
"2014";"Težave s hrupom";"SKUPAJ";14
"2014";"Težave s hrupom";"Lastniki";14
"2014";"Težave s hrupom";"Najemniki";18
"2014";"Težave s hrupom";"Uporabniki";11
"2014";"Onesnaženost okolja";"SKUPAJ";16
"2014";"Onesnaženost okolja";"Lastniki";17
"2014";"Onesnaženost okolja";"Najemniki";17
"2014";"Onesnaženost okolja";"Uporabniki";12
"2014";"Prisotnost kriminala";"SKUPAJ";10
"2014";"Prisotnost kriminala";"Lastniki";11
"2014";"Prisotnost kriminala";"Najemniki";9
"2014";"Prisotnost kriminala";"Uporabniki";9
"2015";"Slabo stanje stanovanja";"SKUPAJ";27
"2015";"Slabo stanje stanovanja";"Lastniki";26
"2015";"Slabo stanje stanovanja";"Najemniki";34
"2015";"Slabo stanje stanovanja";"Uporabniki";27
"2015";"Ni primernega ogrevanja";"SKUPAJ";7
"2015";"Ni primernega ogrevanja";"Lastniki";5
"2015";"Ni primernega ogrevanja";"Najemniki";18
"2015";"Ni primernega ogrevanja";"Uporabniki";5
"2015";"Pretemno stanovanje";"SKUPAJ";6
"2015";"Pretemno stanovanje";"Lastniki";5
"2015";"Pretemno stanovanje";"Najemniki";13
"2015";"Pretemno stanovanje";"Uporabniki";6
"2015";"Težave s hrupom";"SKUPAJ";14
"2015";"Težave s hrupom";"Lastniki";13
"2015";"Težave s hrupom";"Najemniki";22
"2015";"Težave s hrupom";"Uporabniki";10
"2015";"Onesnaženost okolja";"SKUPAJ";16
"2015";"Onesnaženost okolja";"Lastniki";16
"2015";"Onesnaženost okolja";"Najemniki";21
"2015";"Onesnaženost okolja";"Uporabniki";13
"2015";"Prisotnost kriminala";"SKUPAJ";10
"2015";"Prisotnost kriminala";"Lastniki";10
"2015";"Prisotnost kriminala";"Najemniki";7
"2015";"Prisotnost kriminala";"Uporabniki";8
"2016";"Slabo stanje stanovanja";"SKUPAJ";24
"2016";"Slabo stanje stanovanja";"Lastniki";23
"2016";"Slabo stanje stanovanja";"Najemniki";30
"2016";"Slabo stanje stanovanja";"Uporabniki";23
"2016";"Ni primernega ogrevanja";"SKUPAJ";6
"2016";"Ni primernega ogrevanja";"Lastniki";4
