"TIP GOSPODINJSTVA";"LETO";"STANOVANJSKE RAZMERE";Stanovanjske razmere
"SKUPAJ";"2010";"Slabo stanje stanovanja";33
"SKUPAJ";"2010";"Ni primernega ogrevanja";6
"SKUPAJ";"2010";"Pretemno stanovanje";11
"SKUPAJ";"2010";"Težave s hrupom";18
"SKUPAJ";"2010";"Onesnaženost okolja";19
"SKUPAJ";"2010";"Prisotnost kriminala";10
"SKUPAJ";"2011";"Slabo stanje stanovanja";35
"SKUPAJ";"2011";"Ni primernega ogrevanja";6
"SKUPAJ";"2011";"Pretemno stanovanje";13
"SKUPAJ";"2011";"Težave s hrupom";18
"SKUPAJ";"2011";"Onesnaženost okolja";20
"SKUPAJ";"2011";"Prisotnost kriminala";9
"SKUPAJ";"2012";"Slabo stanje stanovanja";32
"SKUPAJ";"2012";"Ni primernega ogrevanja";7
"SKUPAJ";"2012";"Pretemno stanovanje";9
"SKUPAJ";"2012";"Težave s hrupom";14
"SKUPAJ";"2012";"Onesnaženost okolja";17
"SKUPAJ";"2012";"Prisotnost kriminala";8
"SKUPAJ";"2013";"Slabo stanje stanovanja";28
"SKUPAJ";"2013";"Ni primernega ogrevanja";6
"SKUPAJ";"2013";"Pretemno stanovanje";7
"SKUPAJ";"2013";"Težave s hrupom";13
"SKUPAJ";"2013";"Onesnaženost okolja";16
"SKUPAJ";"2013";"Prisotnost kriminala";9
"SKUPAJ";"2014";"Slabo stanje stanovanja";30
"SKUPAJ";"2014";"Ni primernega ogrevanja";7
"SKUPAJ";"2014";"Pretemno stanovanje";6
"SKUPAJ";"2014";"Težave s hrupom";14
"SKUPAJ";"2014";"Onesnaženost okolja";16
"SKUPAJ";"2014";"Prisotnost kriminala";10
"SKUPAJ";"2015";"Slabo stanje stanovanja";27
"SKUPAJ";"2015";"Ni primernega ogrevanja";7
"SKUPAJ";"2015";"Pretemno stanovanje";6
"SKUPAJ";"2015";"Težave s hrupom";14
"SKUPAJ";"2015";"Onesnaženost okolja";16
"SKUPAJ";"2015";"Prisotnost kriminala";10
"SKUPAJ";"2016";"Slabo stanje stanovanja";24
"SKUPAJ";"2016";"Ni primernega ogrevanja";6
"SKUPAJ";"2016";"Pretemno stanovanje";5
"SKUPAJ";"2016";"Težave s hrupom";15
"SKUPAJ";"2016";"Onesnaženost okolja";16
"SKUPAJ";"2016";"Prisotnost kriminala";9
"SKUPAJ";"2017";"Slabo stanje stanovanja";23
"SKUPAJ";"2017";"Ni primernega ogrevanja";5
"SKUPAJ";"2017";"Pretemno stanovanje";5
"SKUPAJ";"2017";"Težave s hrupom";14
"SKUPAJ";"2017";"Onesnaženost okolja";17
"SKUPAJ";"2017";"Prisotnost kriminala";8
"SKUPAJ";"2018";"Slabo stanje stanovanja";23
"SKUPAJ";"2018";"Ni primernega ogrevanja";4
"SKUPAJ";"2018";"Pretemno stanovanje";6
"SKUPAJ";"2018";"Težave s hrupom";15
"SKUPAJ";"2018";"Onesnaženost okolja";17
"SKUPAJ";"2018";"Prisotnost kriminala";8
"SKUPAJ";"2019";"Slabo stanje stanovanja";21
"SKUPAJ";"2019";"Ni primernega ogrevanja";3
"SKUPAJ";"2019";"Pretemno stanovanje";5
"SKUPAJ";"2019";"Težave s hrupom";15
"SKUPAJ";"2019";"Onesnaženost okolja";16
"SKUPAJ";"2019";"Prisotnost kriminala";8
"Enoèlansko gospodinjstvo";"2010";"Slabo stanje stanovanja";37
"Enoèlansko gospodinjstvo";"2010";"Ni primernega ogrevanja";11
"Enoèlansko gospodinjstvo";"2010";"Pretemno stanovanje";12
"Enoèlansko gospodinjstvo";"2010";"Težave s hrupom";20
"Enoèlansko gospodinjstvo";"2010";"Onesnaženost okolja";20
"Enoèlansko gospodinjstvo";"2010";"Prisotnost kriminala";12
"Enoèlansko gospodinjstvo";"2011";"Slabo stanje stanovanja";36
"Enoèlansko gospodinjstvo";"2011";"Ni primernega ogrevanja";10
"Enoèlansko gospodinjstvo";"2011";"Pretemno stanovanje";15
"Enoèlansko gospodinjstvo";"2011";"Težave s hrupom";20
"Enoèlansko gospodinjstvo";"2011";"Onesnaženost okolja";19
"Enoèlansko gospodinjstvo";"2011";"Prisotnost kriminala";9
"Enoèlansko gospodinjstvo";"2012";"Slabo stanje stanovanja";34
"Enoèlansko gospodinjstvo";"2012";"Ni primernega ogrevanja";13
"Enoèlansko gospodinjstvo";"2012";"Pretemno stanovanje";11
"Enoèlansko gospodinjstvo";"2012";"Težave s hrupom";15
"Enoèlansko gospodinjstvo";"2012";"Onesnaženost okolja";18
"Enoèlansko gospodinjstvo";"2012";"Prisotnost kriminala";9
"Enoèlansko gospodinjstvo";"2013";"Slabo stanje stanovanja";30
"Enoèlansko gospodinjstvo";"2013";"Ni primernega ogrevanja";10
"Enoèlansko gospodinjstvo";"2013";"Pretemno stanovanje";8
"Enoèlansko gospodinjstvo";"2013";"Težave s hrupom";15
"Enoèlansko gospodinjstvo";"2013";"Onesnaženost okolja";15
"Enoèlansko gospodinjstvo";"2013";"Prisotnost kriminala";9
"Enoèlansko gospodinjstvo";"2014";"Slabo stanje stanovanja";32
"Enoèlansko gospodinjstvo";"2014";"Ni primernega ogrevanja";11
"Enoèlansko gospodinjstvo";"2014";"Pretemno stanovanje";8
"Enoèlansko gospodinjstvo";"2014";"Težave s hrupom";15
"Enoèlansko gospodinjstvo";"2014";"Onesnaženost okolja";16
"Enoèlansko gospodinjstvo";"2014";"Prisotnost kriminala";11
"Enoèlansko gospodinjstvo";"2015";"Slabo stanje stanovanja";27
"Enoèlansko gospodinjstvo";"2015";"Ni primernega ogrevanja";10
"Enoèlansko gospodinjstvo";"2015";"Pretemno stanovanje";8
"Enoèlansko gospodinjstvo";"2015";"Težave s hrupom";15
"Enoèlansko gospodinjstvo";"2015";"Onesnaženost okolja";16
"Enoèlansko gospodinjstvo";"2015";"Prisotnost kriminala";10
"Enoèlansko gospodinjstvo";"2016";"Slabo stanje stanovanja";23
"Enoèlansko gospodinjstvo";"2016";"Ni primernega ogrevanja";10
"Enoèlansko gospodinjstvo";"2016";"Pretemno stanovanje";5
"Enoèlansko gospodinjstvo";"2016";"Težave s hrupom";17
"Enoèlansko gospodinjstvo";"2016";"Onesnaženost okolja";16
"Enoèlansko gospodinjstvo";"2016";"Prisotnost kriminala";9
"Enoèlansko gospodinjstvo";"2017";"Slabo stanje stanovanja";25
"Enoèlansko gospodinjstvo";"2017";"Ni primernega ogrevanja";9
"Enoèlansko gospodinjstvo";"2017";"Pretemno stanovanje";6
"Enoèlansko gospodinjstvo";"2017";"Težave s hrupom";14
"Enoèlansko gospodinjstvo";"2017";"Onesnaženost okolja";17
"Enoèlansko gospodinjstvo";"2017";"Prisotnost kriminala";8
"Enoèlansko gospodinjstvo";"2018";"Slabo stanje stanovanja";25
"Enoèlansko gospodinjstvo";"2018";"Ni primernega ogrevanja";8
"Enoèlansko gospodinjstvo";"2018";"Pretemno stanovanje";8
"Enoèlansko gospodinjstvo";"2018";"Težave s hrupom";15
"Enoèlansko gospodinjstvo";"2018";"Onesnaženost okolja";16
"Enoèlansko gospodinjstvo";"2018";"Prisotnost kriminala";8
"Enoèlansko gospodinjstvo";"2019";"Slabo stanje stanovanja";22
"Enoèlansko gospodinjstvo";"2019";"Ni primernega ogrevanja";5
"Enoèlansko gospodinjstvo";"2019";"Pretemno stanovanje";6
"Enoèlansko gospodinjstvo";"2019";"Težave s hrupom";16
"Enoèlansko gospodinjstvo";"2019";"Onesnaženost okolja";15
"Enoèlansko gospodinjstvo";"2019";"Prisotnost kriminala";7
"Dva odrasla brez vzdrževanih otrok";"2010";"Slabo stanje stanovanja";33
"Dva odrasla brez vzdrževanih otrok";"2010";"Ni primernega ogrevanja";4
"Dva odrasla brez vzdrževanih otrok";"2010";"Pretemno stanovanje";11
