"STATISTIÈNA REGIJA";"LETO";"Površina (km2) - 1. januar";"Število prebivalcev - 1. julij";"Število moških - 1. julij";"Število žensk - 1. julij";"Gostota naseljenosti - 1. julij"
"Pomurska";"2011";1337;119146;58097;61049;89.1
"Pomurska";"2012";1337;118573;57916;60657;88.7
"Pomurska";"2013";1337;117675;57624;60051;88.0
"Pomurska";"2014";1337;117005;57421;59584;87.5
"Pomurska";"2015";1337;116434;57283;59151;87.1
"Pomurska";"2016";1337;115818;56939;58879;86.6
"Pomurska";"2017";1337;115304;56744;58560;86.2
"Pomurska";"2018";1337;114649;56490;58159;85.9
"Pomurska";"2019";1336;114396;56560;57836;85.6
"Podravska";"2011";2170;322843;159269;163574;148.8
"Podravska";"2012";2170;323026;159525;163501;148.9
"Podravska";"2013";2170;322748;159897;162851;148.7
"Podravska";"2014";2170;323034;160248;162786;148.9
"Podravska";"2015";2170;322545;160172;162373;148.6
"Podravska";"2016";2170;321493;159690;161803;148.2
"Podravska";"2017";2170;321420;159863;161557;148.1
"Podravska";"2018";2170;321960;160698;161262;148.4
"Podravska";"2019";2170;324875;163185;161690;149.7
"Koroška";"2011";1041;72521;36433;36088;69.7
"Koroška";"2012";1041;72267;36255;36012;69.4
"Koroška";"2013";1041;71945;36112;35833;69.1
"Koroška";"2014";1041;71390;35854;35536;68.6
"Koroška";"2015";1041;71218;35755;35463;68.4
"Koroška";"2016";1041;71010;35623;35387;68.2
"Koroška";"2017";1041;70817;35506;35311;68.0
"Koroška";"2018";1041;70603;35508;35095;67.8
"Koroška";"2019";1041;70683;35759;34924;67.9
"Savinjska";"2011";2384;260093;129680;130413;109.1
"Savinjska";"2012";2384;260545;129969;130576;109.3
"Savinjska";"2013";2384;260479;130139;130340;109.3
"Savinjska";"2014";2384;259935;130030;129905;109.0
"Savinjska";"2015";2301;254237;127134;127103;110.5
"Savinjska";"2016";2301;254824;127598;127226;110.7
"Savinjska";"2017";2301;255118;128008;127110;110.9
"Savinjska";"2018";2301;255703;128614;127089;111.1
"Savinjska";"2019";2301;257425;130183;127242;111.9
"Zasavska";"2011";264;44106;21619;22487;167.1
"Zasavska";"2012";264;43775;21431;22344;165.8
"Zasavska";"2013";264;43341;21234;22107;164.2
"Zasavska";"2014";264;42824;20961;21863;162.2
"Zasavska";"2015";485;57567;28340;29227;118.7
"Zasavska";"2016";485;57466;28324;29142;118.5
"Zasavska";"2017";485;57257;28269;28988;118.1
"Zasavska";"2018";485;57050;28201;28849;117.6
"Zasavska";"2019";485;57059;28306;28753;117.6
"Posavska";"2011";885;70086;35135;34951;79.2
"Posavska";"2012";885;70215;35259;34956;79.3
