"STATISTIÈNA REGIJA";"LETO";"Število oseb v prenaseljenih stanovanjih"
"Pomurska";"2011";13000
"Pomurska";"2012";12000
"Pomurska";"2013";12000
"Pomurska";"2014";14000
"Pomurska";"2015";14000
"Pomurska";"2016";13000
"Pomurska";"2017";14000
"Pomurska";"2018";14000
"Pomurska";"2019";10000
"Podravska";"2011";55000
"Podravska";"2012";49000
"Podravska";"2013";50000
"Podravska";"2014";43000
"Podravska";"2015";35000
"Podravska";"2016";36000
"Podravska";"2017";36000
"Podravska";"2018";32000
"Podravska";"2019";37000
"Koroška";"2011";12000
"Koroška";"2012";9000
"Koroška";"2013";8000
"Koroška";"2014";8000
"Koroška";"2015";11000
"Koroška";"2016";11000
"Koroška";"2017";10000
"Koroška";"2018";10000
"Koroška";"2019";7000
"Savinjska";"2011";44000
"Savinjska";"2012";41000
"Savinjska";"2013";37000
"Savinjska";"2014";33000
"Savinjska";"2015";30000
"Savinjska";"2016";26000
"Savinjska";"2017";29000
"Savinjska";"2018";35000
"Savinjska";"2019";35000
"Zasavska";"2011";15000
"Zasavska";"2012";14000
"Zasavska";"2013";11000
"Zasavska";"2014";10000
"Zasavska";"2015";11000
"Zasavska";"2016";10000
"Zasavska";"2017";7000
"Zasavska";"2018";8000
"Zasavska";"2019";9000
"Posavska";"2011";11000
"Posavska";"2012";15000
"Posavska";"2013";13000
"Posavska";"2014";15000
"Posavska";"2015";13000
"Posavska";"2016";6000
"Posavska";"2017";8000
"Posavska";"2018";10000
"Posavska";"2019";9000
"Jugovzhodna Slovenija";"2011";23000
"Jugovzhodna Slovenija";"2012";27000
"Jugovzhodna Slovenija";"2013";25000
"Jugovzhodna Slovenija";"2014";23000
"Jugovzhodna Slovenija";"2015";17000
"Jugovzhodna Slovenija";"2016";18000
"Jugovzhodna Slovenija";"2017";20000
"Jugovzhodna Slovenija";"2018";14000
"Jugovzhodna Slovenija";"2019";9000
"Osrednjeslovenska";"2011";91000
"Osrednjeslovenska";"2012";91000
"Osrednjeslovenska";"2013";86000
"Osrednjeslovenska";"2014";81000
"Osrednjeslovenska";"2015";78000
"Osrednjeslovenska";"2016";73000
"Osrednjeslovenska";"2017";78000
"Osrednjeslovenska";"2018";76000
"Osrednjeslovenska";"2019";73000
"Gorenjska";"2011";37000
"Gorenjska";"2012";31000
"Gorenjska";"2013";33000
"Gorenjska";"2014";35000
"Gorenjska";"2015";29000
"Gorenjska";"2016";27000
"Gorenjska";"2017";26000
"Gorenjska";"2018";22000
"Gorenjska";"2019";21000
"Primorsko-notranjska";"2011";6000
"Primorsko-notranjska";"2012";7000
"Primorsko-notranjska";"2013";7000
"Primorsko-notranjska";"2014";6000
"Primorsko-notranjska";"2015";5000
"Primorsko-notranjska";"2016";5000
"Primorsko-notranjska";"2017";5000
"Primorsko-notranjska";"2018";6000
"Primorsko-notranjska";"2019";6000
"Goriška";"2011";17000
"Goriška";"2012";18000
"Goriška";"2013";14000
"Goriška";"2014";14000
"Goriška";"2015";16000
"Goriška";"2016";16000
"Goriška";"2017";16000
"Goriška";"2018";14000
"Goriška";"2019";13000
"Obalno-kraška";"2011";19000
"Obalno-kraška";"2012";19000
"Obalno-kraška";"2013";17000
"Obalno-kraška";"2014";16000
"Obalno-kraška";"2015";16000
"Obalno-kraška";"2016";12000
"Obalno-kraška";"2017";12000
"Obalno-kraška";"2018";10000
"Obalno-kraška";"2019";7000
