"SPOL";"SAMOOCENA";"LETO";"Status materialne prikrajšanosti - SKUPAJ"
"Moški";"0-4 (%)";"2012";8
"Moški";"0-4 (%)";"2013";9
"Moški";"0-4 (%)";"2014";10
"Moški";"0-4 (%)";"2015";9
"Moški";"0-4 (%)";"2016";8
"Moški";"0-4 (%)";"2017";7
"Moški";"0-4 (%)";"2018";6
"Moški";"0-4 (%)";"2019";5
"Moški";"5-6 (%)";"2012";26
"Moški";"5-6 (%)";"2013";27
"Moški";"5-6 (%)";"2014";26
"Moški";"5-6 (%)";"2015";25
"Moški";"5-6 (%)";"2016";24
"Moški";"5-6 (%)";"2017";23
"Moški";"5-6 (%)";"2018";20
"Moški";"5-6 (%)";"2019";16
"Moški";"7-8 (%)";"2012";45
"Moški";"7-8 (%)";"2013";45
"Moški";"7-8 (%)";"2014";46
"Moški";"7-8 (%)";"2015";47
"Moški";"7-8 (%)";"2016";48
"Moški";"7-8 (%)";"2017";49
"Moški";"7-8 (%)";"2018";49
"Moški";"7-8 (%)";"2019";54
"Moški";"9-10 (%)";"2012";20
"Moški";"9-10 (%)";"2013";19
"Moški";"9-10 (%)";"2014";16
"Moški";"9-10 (%)";"2015";20
"Moški";"9-10 (%)";"2016";19
"Moški";"9-10 (%)";"2017";21
"Moški";"9-10 (%)";"2018";24
"Moški";"9-10 (%)";"2019";25
"Moški";"Neznano (%)";"2012";1
"Moški";"Neznano (%)";"2013";0
"Moški";"Neznano (%)";"2014";1
"Moški";"Neznano (%)";"2015";0
"Moški";"Neznano (%)";"2016";1
"Moški";"Neznano (%)";"2017";0
"Moški";"Neznano (%)";"2018";0
"Moški";"Neznano (%)";"2019";0
"Moški";"Povpreèje";"2012";7.0
"Moški";"Povpreèje";"2013";6.9
"Moški";"Povpreèje";"2014";6.8
"Moški";"Povpreèje";"2015";7.0
"Moški";"Povpreèje";"2016";7.0
"Moški";"Povpreèje";"2017";7.2
"Moški";"Povpreèje";"2018";7.3
"Moški";"Povpreèje";"2019";7.5
"Ženske";"0-4 (%)";"2012";6
"Ženske";"0-4 (%)";"2013";8
"Ženske";"0-4 (%)";"2014";8
"Ženske";"0-4 (%)";"2015";7
"Ženske";"0-4 (%)";"2016";6
"Ženske";"0-4 (%)";"2017";6
"Ženske";"0-4 (%)";"2018";6
"Ženske";"0-4 (%)";"2019";4
"Ženske";"5-6 (%)";"2012";27
"Ženske";"5-6 (%)";"2013";26
"Ženske";"5-6 (%)";"2014";27
"Ženske";"5-6 (%)";"2015";24
"Ženske";"5-6 (%)";"2016";26
"Ženske";"5-6 (%)";"2017";22
"Ženske";"5-6 (%)";"2018";22
"Ženske";"5-6 (%)";"2019";19
"Ženske";"7-8 (%)";"2012";45
"Ženske";"7-8 (%)";"2013";45
"Ženske";"7-8 (%)";"2014";46
"Ženske";"7-8 (%)";"2015";47
"Ženske";"7-8 (%)";"2016";49
"Ženske";"7-8 (%)";"2017";50
"Ženske";"7-8 (%)";"2018";48
"Ženske";"7-8 (%)";"2019";50
"Ženske";"9-10 (%)";"2012";21
"Ženske";"9-10 (%)";"2013";21
"Ženske";"9-10 (%)";"2014";18
"Ženske";"9-10 (%)";"2015";21
"Ženske";"9-10 (%)";"2016";19
"Ženske";"9-10 (%)";"2017";22
"Ženske";"9-10 (%)";"2018";25
"Ženske";"9-10 (%)";"2019";26
"Ženske";"Neznano (%)";"2012";1
"Ženske";"Neznano (%)";"2013";0
"Ženske";"Neznano (%)";"2014";1
"Ženske";"Neznano (%)";"2015";0
"Ženske";"Neznano (%)";"2016";0
"Ženske";"Neznano (%)";"2017";0
"Ženske";"Neznano (%)";"2018";0
"Ženske";"Neznano (%)";"2019";0
"Ženske";"Povpreèje";"2012";7.1
"Ženske";"Povpreèje";"2013";7.0
"Ženske";"Povpreèje";"2014";7.0
"Ženske";"Povpreèje";"2015";7.1
"Ženske";"Povpreèje";"2016";7.1
"Ženske";"Povpreèje";"2017";7.2
"Ženske";"Povpreèje";"2018";7.3
"Ženske";"Povpreèje";"2019";7.5
