"MERITVE";"STAROSTNE SKUPINE";"SPOL";"LETO";"Nad pragom tveganja revšèine"
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2010";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2011";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2012";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2013";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2014";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2015";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2016";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2017";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2018";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Moški";"2019";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2010";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2011";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2012";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2013";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2014";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2015";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2016";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2017";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2018";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 0-17";"Ženske";"2019";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2010";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2011";9000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2012";12000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2013";15000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2014";15000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2015";15000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2016";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2017";14000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2018";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Moški";"2019";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2010";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2011";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2012";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2013";13000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2014";13000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2015";12000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2016";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2017";9000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2018";11000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 18-64";"Ženske";"2019";8000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2010";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2011";1000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2012";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2013";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2014";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2015";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2016";1000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2017";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2018";2000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Moški";"2019";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2010";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2011";5000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2012";5000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2013";7000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2014";6000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2015";6000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2016";5000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2017";3000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2018";4000
"Število oseb, preobremenjenih s stanovanjskimi stroški";"Starost 65+";"Ženske";"2019";3000
